name,price,imageLink,bestLink,brand,tags_id,description
"Vivo Y11 (Mineral Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","8,990",https://m.media-amazon.com/images/I/71BBqZGY3dL._AC_UY218_.jpg,http://www.amazon.in/Vivo-Mineral-Storage-Additional-Exchange/dp/B07XD2FWBC/ref=sr_1_11?dchild=1&keywords=Phones&qid=1621787771&refinements=p_36%3A100000-2000000&rnid=1318502031&s=electronics&sr=1-11,Vivo,6,"['\n13+12MP dual rear camera | 8MP front camera. Clock speeds of up to 1.95GHz\n\n', '\n16.12 centimeters (6.35-inch) HD+ display with 720 x 1544 pixels resolution\n\n', '\nMemory, Storage & SIM: 3GB RAM, 32GB internal memory | Dual SIM (nano+nano) dual-standby (4G+4G)\n\n', '\nAndroid Pie v9 based on OS 9.1 operating system with Qualcomm Snapdragon 439 octa core processor\n\n', '\n5000mAH lithium-ion battery\n\n', '\n1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase\n\n', '\nBox also includes: USB power adapter, SIM ejector, protective case, protective film (applied) and user manual. The box does not include earphones.\n\n', '\nCountry of Origin: India\n\n']"
"Samsung Guru 1200 (GT-E1200, White)","1,150",https://m.media-amazon.com/images/I/417VlC+AqLL._AC_UY218_.jpg,http://www.amazon.in/Samsung-Guru-1200-GT-E1200-White/dp/B008IEGRYS/ref=sr_1_12?dchild=1&keywords=Phones&qid=1621787771&refinements=p_36%3A100000-2000000&rnid=1318502031&s=electronics&sr=1-12,Samsung,6,"['\nPoly ringtone, Mini-SIM. CPU Speed : 208MHz\n\n', '\n1.52-inch TFT screen with 128x128 pixels resolution\n\n', '\nSamsung proprietary operating system with single sim\n\n', '\n800mAH battery providing talktime of 8 hours 40 minutes and standby time of 720 hours\n\n', '\n1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries from the date of purchase. The box does not include earphones\n\n', '\nFor any product related queries kindly Contact_us on: [ 1800 507 267 864 ]\n\n']"
"Vivo Y11 (Agate Red, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","8,990",https://m.media-amazon.com/images/I/81WVehzY2+L._AC_UY218_.jpg,http://www.amazon.in/Vivo-Storage-Additional-Exchange-Offers/dp/B07X9YNV63/ref=sr_1_13?dchild=1&keywords=Phones&qid=1621787771&refinements=p_36%3A100000-2000000&rnid=1318502031&s=electronics&sr=1-13,Vivo,6,"['\n13+12MP dual rear camera | 8MP front camera\n\n', '\n16.12 centimeters (6.35-inch) HD+ display with 720 x 1544 pixels resolution\n\n', '\nMemory, Storage & SIM: 3GB RAM, 32GB internal memory | Dual SIM (nano+nano) dual-standby (4G+4G)\n\n', '\nAndroid Pie v9 based on OS 9.1 operating system with Qualcomm Snapdragon 439 octa core processor\n\n', '\n5000mAH lithium-ion battery\n\n', '\n1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase\n\n', '\nBox also includes: USB power adapter, SIM ejector, protective case, protective film (applied) and user manual.The box does not include earphones\n\n', '\nCountry of Origin: India\n\n']"
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","6,199",https://m.media-amazon.com/images/I/71AYb2AGHXL._AC_UY218_.jpg,http://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MQ622N/ref=sr_1_14?dchild=1&keywords=Phones&qid=1621787771&refinements=p_36%3A100000-2000000&rnid=1318502031&s=electronics&sr=1-14,Samsung,6,"['\n8MP (F2.2) rear camera | 5MP (F2.4) front camera\n\n', '\n5.3-inch (13.41 centimeters) PLS TFT LCD, HD+ capacitive multi-touch touchscreen with 1480 x 720 pixels resolution, 310 ppi pixel density and 16 M color support\n\n', '\nMemory, Storage & SIM: 2GB RAM | 32GB internal memory expandable up to 512GB | Dual SIM (nano+nano) dual-standby (4G+4G)\n\n', '\nAndroid GO | v10.0 operating system with 1.5GHz+2GHz MediaTek | MT6739WW quad core processor\n\n', '\n3000mAH lithium-ion battery\n\n', '\n1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase\n\n', '\nBox also includes: Ejection pin, manual and charger\n\n']"
"Vivo Y91i (Ocean Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","7,490",https://m.media-amazon.com/images/I/51FnmxwFHDL._AC_UY218_.jpg,http://www.amazon.in/Vivo-Storage-Additional-Exchange-Offers/dp/B07KXCKPZZ/ref=sr_1_15?dchild=1&keywords=Phones&qid=1621787771&refinements=p_36%3A100000-2000000&rnid=1318502031&s=electronics&sr=1-15,Vivo,6,"['\n13MP rear camera | 5MP front camera\n\n', '\n15.80 centimeters (6.22-inch) multi-touch capacitive touchscreen with 1520 x 720 pixels resolution\n\n', '\nMemory, Storage & SIM: 2GB RAM | 32GB internal memory expandable up to 256GB | Dual SIM (nano+nano) dual-standby (4G+4G)\n\n', '\nAndroid Oreo v8.1 operating system with Helio P22 octa core processor\n\n', '\n4030mAH lithium-ion battery\n\n', '\n1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase\n\n', '\nBox also Includes: User Manual, Micro USB to USB Cable, USB Power Adapter, SIM Ejector Pin, Protective Case and Protective Film (1 applied). The box does not include earphones\n\n']"
"Redmi Note 10 (Shadow Black, 6GB RAM, 128GB Storage)","14,499",https://m.media-amazon.com/images/I/715t-uJnjMS._AC_UY218_.jpg,http://www.amazon.in/Test-Exclusive_2020_1142-Multi-3GB-Storage/dp/B089MS8NWG/ref=sr_1_16?dchild=1&keywords=Phones&qid=1621787771&refinements=p_36%3A100000-2000000&rnid=1318502031&s=electronics&sr=1-16,Redmi,6,"['\nDisplay: FHD+ (1080x2400) AMOLED Dot display; 16.33 centimeters (6.43 inch); 20:9 aspect ratio\n\n', '\nCamera: 48 MP Quad Rear camera with 8MP Ultra-wide, 2MP Macro and Portrait lens| 13 MP Front camera\n\n', '\nBattery: 5000 mAh large battery with 33W fast charger in-box and Type-C connectivity\n\n', '\nProcessor: Qualcomm Snapdragon 678 with Kryo 460 Octa-core; 11nm process; Up to 2.2GHz clock speed\n\n', '\nMemory, Storage & SIM: 6GB RAM | 128GB UFS 2.2 storage expandable up to 512GB with dedicated SD card slot | Dual SIM (nano+nano) dual standby (4G+4G)\n\n']"
"Redmi 9 Power (Mighty Black, 6GB RAM, 128GB Storage) - 6000mAh Battery |FHD+ Screen| 48MP Quad Camera | Snapdragon 662 Processor","12,999",https://m.media-amazon.com/images/I/61LHaUOhehL._AC_UY218_.jpg,http://www.amazon.in/Test-Exclusive_2020_1138-Multi-3GB-Storage/dp/B089MTR9JW/ref=sr_1_17?dchild=1&keywords=Phones&qid=1621787771&refinements=p_36%3A100000-2000000&rnid=1318502031&s=electronics&sr=1-17,Redmi,6,"['\nDisplay: FHD+ (1080x2340) Dot Notch display; 16.58 centimeters (6.53 inch); 19.5:9 aspect ratio\n\n', '\nCamera: 48 MP Quad Rear camera with 8MP Ultra-wide, 2MP Macro and Portrait lens| 8 MP Front camera\n\n', '\nBattery: 6000 mAh large battery with 18W fast charging support and Type-C connectivity\n\n', '\nProcessor: Qualcomm Snapdragon 662 with Kryo 260 Octa-core; 11nm process; Up to 2.0GHz clock speed\n\n', '\nMemory, Storage & SIM: 6GB RAM | 128GB UFS 2.2 storage expandable up to 512GB with dedicated SD card slot | Dual SIM (nano+nano) dual standby (4G+4G)\n\n']"
"Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","9,999",https://m.media-amazon.com/images/I/71yYaNztZ0L._AC_UY218_.jpg,http://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ/ref=sr_1_18?dchild=1&keywords=Phones&qid=1621787771&refinements=p_36%3A100000-2000000&rnid=1318502031&s=electronics&sr=1-18,Samsung,6,"['\n48MP+5MP+2MP+2MP Quad camera setup- True 48MP (F 2.0) main camera + 5MP (F2.2) Ultra wide camera+ 2MP (F2.4) depth camera + 2MP (2.4) Macro Camera| 8MP (F2.2) front came\n\n', '\n6000mAH lithium-ion battery, 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase\n\n', '\nAndroid 11, v11.0 operating system,One UI 3.1, with 8nm Power Efficient Exynos850 (Octa Core 2.0GH\n\n', '\n16.55 centimeters (6.5-inch) HD+ TFT LCD - infinity v-cut display,90Hz screen refresh rate, HD+ resolution with 720 x 1600 pixels resolution, 269 PPI with 16M color\n\n', '\nMemory, Storage & SIM: 4GB RAM | 64GB internal memory expandable up to 1TB| Dual SIM (nano+nano) dual-standby (4G+4\n\n']"
"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)","12,499",https://m.media-amazon.com/images/I/71dujTTJDZL._AC_UY218_.jpg,http://www.amazon.in/Samsung-Galaxy-Midnight-Blue-Storage/dp/B07HGJJ559/ref=sr_1_19?dchild=1&keywords=Phones&qid=1621787771&refinements=p_36%3A100000-2000000&rnid=1318502031&s=electronics&sr=1-19,Samsung,6,"['\nTriple Camera Setup - 48MP (F1.8) Main Camera +8MP (F2.2) Ultra Wide Camera +5MP(F2.2) Depth Camera and 20MP (F2.2) front facing Punch Hole Camera\n\n', '\n6.4-inch(16.21 centimeters) Super Amoled - Infinity U Cut Display , FHD+ Resolution (2340 x 1080) , 404 ppi pixel density and 16M color support\n\n', '\nAndroid 10.0 operating system with Exynos 9611,2.3GHz,1.7GHz Octa-Core processor, 4GB RAM, 64GB internal memory expandable up to 512GB and dual SIM\n\n', '\n6000 mAh Battery\n\n', '\n1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase\n\n']"
"Nokia 5310 Dual SIM Feature Phone with MP3 Player, Wireless FM Radio and Rear Camera","3,324",https://m.media-amazon.com/images/I/4110ru1t4KL._AC_UY218_.jpg,http://www.amazon.in/Nokia-5310-Feature-Player-Wireless/dp/B08BG8L72Q/ref=sr_1_20?dchild=1&keywords=Phones&qid=1621787771&refinements=p_36%3A100000-2000000&rnid=1318502031&s=electronics&sr=1-20,Nokia,6,"['\n1200mAh battery delivers you up to 22 days (Dual SIM) standby time from a single char\n\n', '\nMP3 player and wireless FM radio with dedicated music buttons and powerful dual front-facing speaker\n\n', '\nExcellent durability and a timeless desi\n\n', '\nSee whatâ??s playing at a glance with the clear, 2.4-Inch curved display\n\n', '\nElegant and clean numeric keypad, 5-way navigation deliver easy to use interfa\n\n']"
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","8,799",https://m.media-amazon.com/images/I/716nHhG9SWL._AC_UY218_.jpg,http://www.amazon.in/Redmi-Carbon-Black-64GB-Storage/dp/B086985T6R/ref=sr_1_21?dchild=1&keywords=Phones&qid=1621787771&refinements=p_36%3A100000-2000000&rnid=1318502031&s=electronics&sr=1-21,Redmi,6,"['\n13+2MP Rear camera with AI Portrait, AI scene recognition, HDR, Pro mode | 5MP front facing camera\n\n', '\n16.58 centimeters (6.53-inch) HD+ multi-touch capacitive touchscreen with 1600 x 720 pixels resolution, 268 ppi pixel density, 20:9 aspect ratio\n\n', '\nMemory, Storage & SIM: 4GB RAM | 64GB storage expandable up to 512GB| Dual SIM with dual standby (4G+4G)\n\n', '\nAndroid v10 operating system with 2.3GHz Mediatek Helio G35 octa core processor\n\n', '\n5000mAH lithium-polymer battery with 10W wired charger in-box\n\n', '\n1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase\n\n', '\nBox also includes: Power adapter, USB cable, SIM eject tool, Warranty card, User guide\n\n']"
"Vivo Y91i (Fusion Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","7,490",https://m.media-amazon.com/images/I/51ZoulFBPGL._AC_UY218_.jpg,http://www.amazon.in/Vivo-Fusion-Storage-Additional-Exchange/dp/B07KX1S161/ref=sr_1_25?dchild=1&keywords=Phones&qid=1621788166&refinements=p_36%3A100000-2000000&rnid=1318502031&s=electronics&sr=1-25,Vivo,6,"['\n13MP rear camera | 5MP front camera\n\n', '\n15.80 centimeters (6.22-inch) multi-touch capacitive touchscreen with 1520 x 720 pixels resolution\n\n', '\nMemory, Storage & SIM: 2GB RAM | 32GB internal memory expandable up to 256GB | Dual SIM (nano+nano) dual-standby (4G+4G)\n\n', '\nAndroid Oreo v8.1 operating system with Helio P22 octa core processor\n\n', '\n4030mAH lithium-ion battery\n\n', '\n1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase\n\n', '\nBox also Includes: User Manual, Micro USB to USB Cable, USB Power Adapter, SIM Ejector Pin, Protective Case and Protective Film (1 applied). The box does not include earphones\n\n']"
Samsung Guru 1200 (Gold),"1,150",https://m.media-amazon.com/images/I/71bjLBZBAoL._AC_UY218_.jpg,http://www.amazon.in/Samsung-Guru-1200-Gold/dp/B07D4RXZ5J/ref=sr_1_26?dchild=1&keywords=Phones&qid=1621788166&refinements=p_36%3A100000-2000000&rnid=1318502031&s=electronics&sr=1-26,Samsung,6,"['\nPoly Ringtone, Mini-SIM\n\n', '\n1.52-inch TFT screen with 128x128 pixels resolution; Network: GSM (900/1,800MHz)\n\n', '\nSamsung proprietary operating system\n\n', '\n800mAH battery providing talktime of 7 hours and standby time of 720 hours\n\n', '\n1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries from the date of purchase. The box does not include earphones\n\n', '\nFor any product related queries kindly Contact_us on: [ 1800 507 267 864 ]\n\n', '\nCountry of Origin: India\n\n']"
"I KALL K260 Smartphone (5.5 Inch, 2GB, 16GB, 4000 mAh Battery) (Green)","4,752",https://m.media-amazon.com/images/I/41XFboa9DoL._AC_UY218_.jpg,http://www.amazon.in/KALL-K260-Smartphone-Battery-Green/dp/B0928NT5XM/ref=sr_1_27?dchild=1&keywords=Phones&qid=1621788166&refinements=p_36%3A100000-2000000&rnid=1318502031&s=electronics&sr=1-27,I,6,"['\n8MP Rear Camera | 5MP Front Camera | Made in India\n\n', '\n13.97 cm (5.5 inch) Display | multi-touch capacitive touch screen with 480x960 pixel resolution\n\n', '\n2GB ram, 16GB storage | Expandable Memory 64GB | Dual Sim (4G+2G) | 4G Volte\n\n', '\nAndroid 6.0 Marshmallow with 1.3 Ghz Quad Core\n\n', '\nPlease contact I KALL helpline number 1800-120-4934 for any assistance | 1 Year warranty for device and 6 Months for box accessories\n\n']"
"Redmi 9 (Sporty Orange, 4GB RAM, 128GB Storage) | 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","9,999",https://m.media-amazon.com/images/I/716nHhG9SWL._AC_UY218_.jpg,http://www.amazon.in/Test-Dummy_March_2020_88-Black-128BG-Storage/dp/B086978F2S/ref=sr_1_28?dchild=1&keywords=Phones&qid=1621788166&refinements=p_36%3A100000-2000000&rnid=1318502031&s=electronics&sr=1-28,Redmi,6,"['\n13+2MP dual camera with AI portrait, AI scene recognition, HDR, pro mode | 5MP front camera\n\n', '\n16.58 centimeters (6.53 inch) HD+ multi-touch capacitive touchscreen with 1600 x 720 pixels resolution, 268 ppi pixel density and 20:9 aspect ratio\n\n', '\nAndroid v10 operating system with upto 2.3GHz clock speed Mediatek Helio G35 octa core processor\n\n', '\nMemory, Storage & SIM: 4GB RAM | 128GB internal memory expandable up to 512GB | Dual SIM (nano+nano) + Dedicated SD card slot\n\n', '\n5000mAH lithium-polymer large battery with 10W wired charger in-box\n\n', '\n1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase\n\n', '\nBox also includes: Power adapter, USB cable, sim eject tool, warranty card and user guide\n\n']"
